"season","RMSE_dummy","RMSE_no_dummy","R2_dummy","R2_no_dummy","RMSE_gain","relative_RMSE_gain","R2_gain"
2007,12.6361968593328,12.6475491143108,0.116913402687262,0.11532597451856,0.0113522549780001,0.000897585364199528,0.001587428168702
2008,12.5423192053762,12.5336067882799,0.237373173352801,0.23843231005346,-0.00871241709629977,-0.000695124495563935,-0.00105913670065899
2009,11.5666575340519,11.5699898561368,0.154093646468556,0.153606169690724,0.00333232208489953,0.000288014261579672,0.000487476777832008
2010,12.1012867719034,12.0627909547796,0.201451338299518,0.206523838198976,-0.038495817123799,-0.00319128610187396,-0.00507249989945799
2011,12.1646743847448,12.1751329127589,0.170150924873144,0.168723392924156,0.0104585280140999,0.000859007297007811,0.00142753194898801
2012,12.6409918383498,12.6762528507803,0.110596660770404,0.105627904767814,0.0352610124304995,0.00278165896859094,0.00496875600259
2013,12.3973873971383,12.3895364168429,0.170050069616621,0.171100913177394,-0.00785098029539988,-0.000633678293622585,-0.00105084356077301
2014,11.7947817677497,11.8326519972164,0.176661251040288,0.171365674779482,0.0378702294666997,0.00320048535827882,0.00529557626080598
2015,12.1709327114427,12.2106048668029,0.221194682415029,0.216109247837895,0.0396721553601989,0.00324899182251454,0.00508543457713398
2016,12.2921104718207,12.308748022805,0.188067015947272,0.18586760218887,0.0166375509842993,0.00135168507418254,0.00219941375840199
2017,12.5736551566056,12.5789845967711,0.110904246481097,0.110150386643102,0.00532944016550019,0.000423678089793369,0.000753859837994988
2018,12.59610520334,12.6570568305299,0.177731141463277,0.16975409073603,0.0609516271898993,0.00481562404325141,0.007977050727247
2019,13.1637786820775,13.300885847521,0.191363096053912,0.174430678921068,0.137107165443501,0.0103081228585279,0.016932417132844
2022,14.7702240424787,14.8796131043615,0.174096634346669,0.161817965684506,0.1093890618828,0.00735160659861079,0.012278668662163
2023,13.8643200424998,13.9594295015078,0.125163508397491,0.113119553876128,0.0951094590080004,0.00681327693210724,0.012043954521363
2024,14.4322780616435,14.4935714449118,0.200189249397777,0.193381286526715,0.0612933832682998,0.00422900480404489,0.006807962871062
2025,14.6249172360664,14.7558898063412,0.231527503647545,0.217701853405376,0.1309725702748,0.0088759520431303,0.013825650242169
