"comparison","n_seasons","mean_RMSE_gain","RMSE_gain_CI_low","RMSE_gain_CI_high","paired_t_p","RMSE_wins"
"dummy_vs_no_dummy",17,0.0411575027079999,0.0147948413333144,0.0675201640826854,0.00442876512102718,14
"selected_no_dummy_vs_zero_threshold_no_dummy",17,-0.0142260605948531,-0.0321827460129088,0.00373062482320263,0.112476346172496,5
"selected_dummy_vs_zero_threshold_no_dummy",17,0.0269314421131468,0.00075413721460963,0.053108747011684,0.0444542427435841,11
"dummy_vs_no_dummy_excluding_2019",16,0.0351606487870311,0.0104403341421544,0.0598809634319078,0.0084125510957833,13
