season,min_minutes,model_type,model_name,RMSE,R2
2019,15,dummy,15_dummy,13.84101,0.12262567
2019,20,dummy,20_dummy,13.86363,0.11975541
2019,25,dummy,25_dummy,13.83294,0.12364851
2019,30,dummy,30_dummy,13.92210,0.11231540
2015,0,no_dummy,0_no_dummy,12.71909,0.19438739
2015,5,no_dummy,5_no_dummy,12.70771,0.19582926
2015,10,no_dummy,10_no_dummy,12.76990,0.18793861
2015,15,no_dummy,15_no_dummy,12.72486,0.19365672
2015,20,no_dummy,20_no_dummy,13.03037,0.15447359
2015,25,no_dummy,25_no_dummy,13.14444,0.13960439
2015,30,no_dummy,30_no_dummy,13.10005,0.14540610
2016,0,no_dummy,0_no_dummy,12.75524,0.15058158
2016,5,no_dummy,5_no_dummy,12.83858,0.13944655
2016,10,no_dummy,10_no_dummy,12.76888,0.14876418
2016,15,no_dummy,15_no_dummy,12.70294,0.15753277
2016,20,no_dummy,20_no_dummy,12.78786,0.14623140
2016,25,no_dummy,25_no_dummy,12.85844,0.13678133
2016,30,no_dummy,30_no_dummy,12.85309,0.13749974
2017,0,no_dummy,0_no_dummy,13.27346,0.01300014
2017,5,no_dummy,5_no_dummy,13.07566,0.04219734
2017,10,no_dummy,10_no_dummy,12.93585,0.06256925
2017,15,no_dummy,15_no_dummy,12.98859,0.05490984
2017,20,no_dummy,20_no_dummy,12.91335,0.06582798
2017,25,no_dummy,25_no_dummy,13.00569,0.05241991
2017,30,no_dummy,30_no_dummy,12.97955,0.05622602
2018,0,no_dummy,0_no_dummy,14.04849,-0.01149519
2018,5,no_dummy,5_no_dummy,13.43099,0.07547113
2018,10,no_dummy,10_no_dummy,13.33110,0.08917232
2018,15,no_dummy,15_no_dummy,13.36368,0.08471470
2018,20,no_dummy,20_no_dummy,13.30189,0.09315852
2018,25,no_dummy,25_no_dummy,13.28336,0.09568408
2018,30,no_dummy,30_no_dummy,13.16560,0.11164602
2019,0,no_dummy,0_no_dummy,14.22850,0.07281306
2019,5,no_dummy,5_no_dummy,13.91630,0.11305408
2019,10,no_dummy,10_no_dummy,13.81276,0.12620343
2019,15,no_dummy,15_no_dummy,13.93595,0.11054860
2019,20,no_dummy,20_no_dummy,13.93841,0.11023414
2019,25,no_dummy,25_no_dummy,13.86116,0.12006929
2019,30,no_dummy,30_no_dummy,13.91156,0.11365818
2010,0,dummy,0_dummy,12.88758,0.11397158
2010,5,dummy,5_dummy,12.90824,0.11112835
2010,10,dummy,10_dummy,12.87995,0.11502092
2010,15,dummy,15_dummy,12.78084,0.12858795
2010,20,dummy,20_dummy,12.86370,0.11725246
2010,25,dummy,25_dummy,12.97074,0.10249982
2010,30,dummy,30_dummy,12.98337,0.10075099
2011,0,dummy,0_dummy,12.01897,0.13338403
2011,5,dummy,5_dummy,11.90849,0.14924365
2011,10,dummy,10_dummy,11.97228,0.14010419
2011,15,dummy,15_dummy,11.97754,0.13934861
2011,20,dummy,20_dummy,12.05554,0.12810244
2011,25,dummy,25_dummy,12.13011,0.11728276
2011,30,dummy,30_dummy,12.27779,0.09565909
2012,0,dummy,0_dummy,13.20545,0.05839768
2012,5,dummy,5_dummy,13.10048,0.07330663
2012,10,dummy,10_dummy,13.17283,0.06304368
2012,15,dummy,15_dummy,12.97294,0.09126278
2012,20,dummy,20_dummy,12.99212,0.08857437
2012,25,dummy,25_dummy,13.22027,0.05628322
2012,30,dummy,30_dummy,13.21550,0.05696307
2013,0,dummy,0_dummy,13.01019,0.11212965
2013,5,dummy,5_dummy,12.69295,0.15490166
2013,10,dummy,10_dummy,12.71626,0.15179552
2013,15,dummy,15_dummy,12.76988,0.14462653
2013,20,dummy,20_dummy,12.77495,0.14394688
2013,25,dummy,25_dummy,12.98045,0.11618517
2013,30,dummy,30_dummy,13.04350,0.10757776
2014,0,dummy,0_dummy,12.39737,0.11822883
2014,5,dummy,5_dummy,12.35365,0.12443618
2014,10,dummy,10_dummy,12.41208,0.11613411
2014,15,dummy,15_dummy,12.43501,0.11286574
2014,20,dummy,20_dummy,12.24993,0.13907687
2014,25,dummy,25_dummy,12.47273,0.10747518
2014,30,dummy,30_dummy,12.47492,0.10716297
2010,0,no_dummy,0_no_dummy,12.87054,0.11631355
2010,5,no_dummy,5_no_dummy,12.94612,0.10590409
2010,10,no_dummy,10_no_dummy,12.93914,0.10686811
2010,15,no_dummy,15_no_dummy,12.84582,0.11970434
2010,20,no_dummy,20_no_dummy,12.87899,0.11515203
2010,25,no_dummy,25_no_dummy,12.99964,0.09849621
2010,30,no_dummy,30_no_dummy,13.00213,0.09815080
2011,0,no_dummy,0_no_dummy,12.00525,0.13536224
2011,5,no_dummy,5_no_dummy,11.94109,0.14457925
