"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2007,0,0,421,447,11.6700695867096,11.6700695867096,11.9480233446892,0.0965897996854539,11.9480233446892,0.0965897996854539,11.9480233446892,4.53635034824729,4.53635034824729,12.6260347714636,0.118333196194788,12.6260347714636,0.118333196194788
2007,0,0.1,421,447,11.6700695867096,11.6700695867096,11.9480233446892,0.0965897996854539,11.9480233446892,0.0965897996854539,11.9480233446892,4.53635034824729,4.53635034824729,12.6260347714636,0.118333196194788,12.6260347714636,0.118333196194788
2007,0,0.25,421,447,11.6700695867096,11.6700695867096,11.9480233446892,0.0965897996854539,11.9480233446892,0.0965897996854539,11.9480233446892,4.53635034824729,4.53635034824729,12.6260347714636,0.118333196194788,12.6260347714636,0.118333196194788
2007,0,0.5,421,447,11.6700695867096,11.6700695867096,11.9480233446892,0.0965897996854539,11.9480233446892,0.0965897996854539,11.9480233446892,4.53635034824729,4.53635034824729,12.6260347714636,0.118333196194788,12.6260347714636,0.118333196194788
2007,0,1,421,447,11.6700695867096,11.6700695867096,11.9480233446892,0.0965897996854539,11.9480233446892,0.0965897996854539,11.9480233446892,4.53635034824729,4.53635034824729,12.6260347714636,0.118333196194788,12.6260347714636,0.118333196194788
2007,0,2,421,447,11.6700695867096,11.6700695867096,11.9480233446892,0.0965897996854539,11.9480233446892,0.0965897996854539,11.9480233446892,4.53635034824729,4.53635034824729,12.6260347714636,0.118333196194788,12.6260347714636,0.118333196194788
2007,5,0,412,436,11.3817321741528,11.6700695867096,14.0240592427861,-0.244630216295341,11.9500019141403,0.0962905689637761,12.9870305784632,4.43615142907296,4.53635034824729,12.7296309249851,0.103805753370193,12.6274908655826,0.118129828487111
2007,5,0.1,412,436,12.2470782513146,11.6700695867096,11.8722372490869,0.108014081469609,11.9500019141403,0.0962905689637761,11.9111195816136,4.87817309950412,4.53635034824729,12.5655612598518,0.126758613080785,12.6274908655826,0.118129828487111
2007,5,0.25,412,436,12.4654330730508,11.6700695867096,11.8820270434863,0.106542419659188,11.9500019141403,0.0962905689637761,11.9160144788133,4.46006642983506,4.53635034824729,12.5889141764825,0.12350978357173,12.6274908655826,0.118129828487111
2007,5,0.5,412,436,11.5317986200424,11.6700695867096,11.8986528245252,0.104040351201726,11.9500019141403,0.0962905689637761,11.9243273693327,4.48549440263914,4.53635034824729,12.6055933792916,0.121185700267396,12.6274908655826,0.118129828487111
