"min_minutes","dummy_penalty_ratio","mean_neutral_inner_RMSE","mean_inner_dummy_RMSE","mean_inner_no_dummy_RMSE","n_seasons"
10,2,12.7699570313229,12.7688399491737,12.7710741134721,17
0,2,12.7719038094168,12.7719038094168,12.7719038094168,17
0,1,12.7719038094168,12.7719038094168,12.7719038094168,17
0,0.5,12.7719038094168,12.7719038094168,12.7719038094168,17
0,0.25,12.7719038094168,12.7719038094168,12.7719038094168,17
0,0.1,12.7719038094168,12.7719038094168,12.7719038094168,17
0,0,12.7719038094168,12.7719038094168,12.7719038094168,17
5,2,12.7722960505943,12.7727358511234,12.7718562500652,17
10,1,12.7730039574577,12.7749338014433,12.7710741134721,17
5,1,12.7740651819317,12.7762741137981,12.7718562500652,17
5,0.5,12.7799400831589,12.7880239162526,12.7718562500652,17
10,0.5,12.7807128895566,12.7903516656412,12.7710741134721,17
15,2,12.7849023314054,12.7834675337736,12.7863371290372,17
15,1,12.788287223724,12.7902373184108,12.7863371290372,17
10,0.25,12.794044603374,12.8170150932758,12.7710741134721,17
15,0.5,12.7944494721506,12.8025618152639,12.7863371290372,17
5,0.25,12.7979334393212,12.8240106285771,12.7718562500652,17
20,2,12.7990473766527,12.8032925678035,12.7948021855019,17
15,0.25,12.8032132320438,12.8200893350504,12.7863371290372,17
20,1,12.8034440480253,12.8120859105488,12.7948021855019,17
20,0.5,12.8089917650523,12.8231813446027,12.7948021855019,17
20,0.25,12.8169237036724,12.8390452218428,12.7948021855019,17
15,0.1,12.8180528339691,12.849768538901,12.7863371290372,17
10,0.1,12.8192272200495,12.8673803266269,12.7710741134721,17
20,0.1,12.8325813627023,12.8703605399027,12.7948021855019,17
25,2,12.8484639473726,12.8547188713943,12.8422090233509,17
25,1,12.8517118250474,12.861214626744,12.8422090233509,17
25,0.5,12.8560484454801,12.8698878676093,12.8422090233509,17
25,0.25,12.8612307602149,12.880252497079,12.8422090233509,17
5,0.1,12.8625173195267,12.9531783889882,12.7718562500652,17
20,0,12.8688413478031,12.9428805101043,12.7948021855019,17
25,0.1,12.8692123291475,12.8962156349441,12.8422090233509,17
25,0,12.8929853366018,12.9437616498527,12.8422090233509,17
15,0,12.9371019840577,13.0878668390783,12.7863371290372,17
30,2,12.9748321447698,12.9724212049893,12.9772430845504,17
30,1,12.9795964770949,12.9819498696394,12.9772430845504,17
30,0.5,12.9868847470627,12.996526409575,12.9772430845504,17
30,0.25,12.9955842013196,13.0139253180888,12.9772430845504,17
30,0.1,13.0015707710404,13.0258984575304,12.9772430845504,17
30,0,13.0217516820877,13.0662602796249,12.9772430845504,17
10,0,13.0565434511498,13.3420127888275,12.7710741134721,17
5,0,13.4691224484255,14.1663886467857,12.7718562500652,17
