"dummy_penalty_ratio","n_seasons","mean_neutral_inner_RMSE","mean_inner_dummy_RMSE","mean_inner_no_dummy_RMSE","mean_outer_dummy_RMSE","mean_outer_no_dummy_RMSE","mean_outer_RMSE_gain","outer_RMSE_wins"
2.2,17,12.7698247025628,12.7685752916535,12.7710741134721,12.843095139213,12.884252641921,0.0411575027079999,14
2.1,17,12.7698841621009,12.7686942107297,12.7710741134721,12.8420832789228,12.884252641921,0.0421693629982648,14
2,17,12.7699570313229,12.7688399491737,12.7710741134721,12.8410114644331,12.884252641921,0.0432411774879177,14
1.9,17,12.7700460445686,12.769017975665,12.7710741134721,12.8398740142077,12.884252641921,0.0443786277133354,14
2.5,17,12.7700837152661,12.7690933170601,12.7710741134721,12.8451360664716,12.884252641921,0.0391165754494059,14
2.4,17,12.7701160925381,12.7691580716041,12.7710741134721,12.8442808613971,12.884252641921,0.0399717805239647,14
1.8,17,12.770154602719,12.7692350919658,12.7710741134721,12.838664479379,12.884252641921,0.0455881625420001,14
2.3,17,12.7701564843292,12.7692388551862,12.7710741134721,12.8433795133935,12.884252641921,0.0408731285275294,14
1.7,17,12.7702869723594,12.7694998312466,12.7710741134721,12.8373755049014,12.884252641921,0.0468771370195999,14
1.6,17,12.7704485575797,12.7698230016872,12.7710741134721,12.8368823926147,12.884252641921,0.0473702493063588,14
1.5,17,12.7706462764779,12.7702184394837,12.7710741134721,12.8358247613453,12.884252641921,0.0484278805757587,14
1.4,17,12.7708890914383,12.7707040694045,12.7710741134721,12.8342251591226,12.884252641921,0.0500274827984001,14
1.3,17,12.7711887700352,12.7713034265983,12.7710741134721,12.8325012718011,12.884252641921,0.051751370119994,14
1.2,17,12.7715823020087,12.7720904905452,12.7710741134721,12.8306372513762,12.884252641921,0.0536153905448115,14
1.1,17,12.7720484333899,12.7730227533077,12.7710741134721,12.8286142782976,12.884252641921,0.0556383636234884,14
1,17,12.7730039574577,12.7749338014433,12.7710741134721,12.8259288273585,12.884252641921,0.058323814562553,14
