"season","min_minutes","model","dummy_penalty_ratio","term","coefficient","term_type","player_id"
2007,10,"dummy",2.2,"player__181",1.95300584336486,"player","181"
2007,10,"dummy",2.2,"player__1816",-0.482770558130248,"player","1816"
2007,10,"dummy",2.2,"player__1821",1.58367304925284,"player","1821"
2007,10,"dummy",2.2,"player__1823",-0.737253139801842,"player","1823"
2007,10,"dummy",2.2,"player__1828",0.528908914098829,"player","1828"
2007,10,"dummy",2.2,"player__183",-0.337518143924253,"player","183"
2007,10,"dummy",2.2,"player__1858",0.85431181350712,"player","1858"
2007,10,"dummy",2.2,"player__187",0.567436729551766,"player","187"
2007,10,"dummy",2.2,"player__1913",0.142085230317932,"player","1913"
2007,10,"dummy",2.2,"player__193",-0.0748300577820217,"player","193"
2007,10,"dummy",2.2,"player__194",0.912973405965863,"player","194"
2007,10,"dummy",2.2,"player__1966",0.81915006406926,"player","1966"
2007,10,"dummy",2.2,"player__1975",-0.132707866502567,"player","1975"
2007,10,"dummy",2.2,"player__1977",1.34364621181133,"player","1977"
2007,10,"dummy",2.2,"player__1978",0.892602340914581,"player","1978"
2007,10,"dummy",2.2,"player__1979",-0.0586840615167988,"player","1979"
2007,10,"dummy",2.2,"player__1980",-1.41925399874573,"player","1980"
2007,10,"dummy",2.2,"player__1981",2.14947143528348,"player","1981"
2007,10,"dummy",2.2,"player__1982",-0.737727363366157,"player","1982"
2007,10,"dummy",2.2,"player__1985",-1.70717018181982,"player","1985"
2007,10,"dummy",2.2,"player__1987",1.29388301609934,"player","1987"
2007,10,"dummy",2.2,"player__1994",-0.211624043923195,"player","1994"
2007,10,"dummy",2.2,"player__1995",0.748625544247837,"player","1995"
2007,10,"dummy",2.2,"player__1996",-0.843347775435988,"player","1996"
2007,10,"dummy",2.2,"player__1998",0.554100859828695,"player","1998"
2007,10,"dummy",2.2,"player__1999",0.137318812946046,"player","1999"
2007,10,"dummy",2.2,"player__2004",-2.01901336613642,"player","2004"
2007,10,"dummy",2.2,"player__2006",0.872164806009735,"player","2006"
2007,10,"dummy",2.2,"player__2008",0.527750460168553,"player","2008"
2007,10,"dummy",2.2,"player__2009",-0.0790668468158898,"player","2009"
2007,10,"dummy",2.2,"player__2010",1.83597495001892,"player","2010"
2007,10,"dummy",2.2,"player__2011",-0.701751316144407,"player","2011"
2007,10,"dummy",2.2,"player__2015",-0.139583461244418,"player","2015"
2007,10,"dummy",2.2,"player__2016",-0.00735164766700648,"player","2016"
2007,10,"dummy",2.2,"player__2018",-0.24891794598902,"player","2018"
2007,10,"dummy",2.2,"player__2027",0.0361786246592314,"player","2027"
2007,10,"dummy",2.2,"player__207",-0.386391657148331,"player","207"
2007,10,"dummy",2.2,"player__209",-0.647938622946543,"player","209"
2007,10,"dummy",2.2,"player__215",3.86834905080647,"player","215"
2007,10,"dummy",2.2,"player__2165",-3.1540177613343,"player","2165"
2007,10,"dummy",2.2,"player__2166",2.06809265549371,"player","2166"
2007,10,"dummy",2.2,"player__2167",-0.497941135779905,"player","2167"
2007,10,"dummy",2.2,"player__2168",-1.36258211411358,"player","2168"
2007,10,"dummy",2.2,"player__2171",0.107506883382581,"player","2171"
2007,10,"dummy",2.2,"player__2172",0.308398764550123,"player","2172"
2007,10,"dummy",2.2,"player__2173",-1.65294245574332,"player","2173"
2007,10,"dummy",2.2,"player__2175",0.378298254387999,"player","2175"
2007,10,"dummy",2.2,"player__2177",1.04145502593158,"player","2177"
2007,10,"dummy",2.2,"player__2178",2.10873928893567,"player","2178"
2007,10,"dummy",2.2,"player__2184",-0.153822731016673,"player","2184"
2007,10,"dummy",2.2,"player__2188",-1.26327967077846,"player","2188"
2007,10,"dummy",2.2,"player__2197",-0.679776578672169,"player","2197"
2007,10,"dummy",2.2,"player__2200",-0.101454797349127,"player","2200"
2007,10,"dummy",2.2,"player__2211",0.0877895454020151,"player","2211"
2007,10,"dummy",2.2,"player__2215",0.437930804572945,"player","2215"
2007,10,"dummy",2.2,"player__2221",0.930106977217566,"player","2221"
2007,10,"dummy",2.2,"player__234",1.53262121368801,"player","234"
2007,10,"dummy",2.2,"player__2367",0.0481963774316968,"player","2367"
2007,10,"dummy",2.2,"player__2368",0.559614281530233,"player","2368"
2007,10,"dummy",2.2,"player__2373",0.194250135000532,"player","2373"
2007,10,"dummy",2.2,"player__2377",1.67673179914167,"player","2377"
2007,10,"dummy",2.2,"player__2380",1.30148169325701,"player","2380"
2007,10,"dummy",2.2,"player__2381",1.01556898731505,"player","2381"
2007,10,"dummy",2.2,"player__2382",4.047958867009,"player","2382"
2007,10,"dummy",2.2,"player__2383",-0.0776014944532226,"player","2383"
2007,10,"dummy",2.2,"player__2384",0.0510619168615326,"player","2384"
2007,10,"dummy",2.2,"player__2386",-1.20007423256842,"player","2386"
2007,10,"dummy",2.2,"player__2387",-1.14456863840376,"player","2387"
2007,10,"dummy",2.2,"player__2388",-0.035529273992861,"player","2388"
2007,10,"dummy",2.2,"player__2389",-1.70686004789042,"player","2389"
2007,10,"dummy",2.2,"player__2393",-2.02483699164202,"player","2393"
2007,10,"dummy",2.2,"player__2394",1.7444369170466,"player","2394"
2007,10,"dummy",2.2,"player__2399",-0.783779993132837,"player","2399"
2007,10,"dummy",2.2,"player__24",1.21802356597881,"player","24"
2007,10,"dummy",2.2,"player__2404",-0.346458852944022,"player","2404"
2007,10,"dummy",2.2,"player__2411",0.450903507735235,"player","2411"
2007,10,"dummy",2.2,"player__2417",0.0891890269205691,"player","2417"
2007,10,"dummy",2.2,"player__2419",1.60349293630578,"player","2419"
2007,10,"dummy",2.2,"player__242",-0.359400535808472,"player","242"
2007,10,"dummy",2.2,"player__2421",-0.177465782291852,"player","2421"
2007,10,"dummy",2.2,"player__2422",-1.56714755146717,"player","2422"
2007,10,"dummy",2.2,"player__2423",-1.25401089907418,"player","2423"
2007,10,"dummy",2.2,"player__2426",-0.837547246497577,"player","2426"
2007,10,"dummy",2.2,"player__2427",0.626805522231791,"player","2427"
2007,10,"dummy",2.2,"player__2429",1.69613142683859,"player","2429"
2007,10,"dummy",2.2,"player__2433",-0.128883455591584,"player","2433"
2007,10,"dummy",2.2,"player__2435",0.459837256503451,"player","2435"
2007,10,"dummy",2.2,"player__2439",0.429320087332104,"player","2439"
2007,10,"dummy",2.2,"player__2442",-1.37777404156557,"player","2442"
2007,10,"dummy",2.2,"player__2444",0.539038997632513,"player","2444"
2007,10,"dummy",2.2,"player__2445",-1.10516760833671,"player","2445"
2007,10,"dummy",2.2,"player__2447",-0.545393054236397,"player","2447"
2007,10,"dummy",2.2,"player__2448",-0.530648958366353,"player","2448"
