"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2","outer_RMSE_gain","outer_R2_gain"
2007,10,2.2,386,411,13.1960047514389,11.6700695867096,11.9511824317336,0.0961120087282055,11.9534931317355,0.0957624506980401,11.9523377817346,4.6656524959408,4.53635034824729,12.6361968593328,0.116913402687262,12.6475491143108,0.11532597451856,0.0113522549780001,0.001587428168702
2008,10,2.2,385,407,6.73598422182744,6.53738026442712,12.386943143031,0.157806864590399,12.382796612084,0.158370618755587,12.3848698775575,4.58385120880512,4.45563159457281,12.5423192053762,0.237373173352801,12.5336067882799,0.23843231005346,-0.00871241709629977,-0.00105913670065899
2009,10,2.2,374,398,6.03171567177555,5.84893640899447,12.165593383151,0.14898681922908,12.1665366282653,0.148854849481534,12.1660650057081,3.46614212903503,3.36710949677689,11.5666575340519,0.154093646468556,11.5699898561368,0.153606169690724,0.00333232208489953,0.000487476777832008
2010,10,2.2,372,400,6.85284717003767,6.05388472540986,12.5775675439772,0.0789039684813979,12.5745135051314,0.0793512284976513,12.5760405245543,5.07600857862495,4.49355138931746,12.1012867719034,0.201451338299518,12.0627909547796,0.206523838198976,-0.038495817123799,-0.00507249989945799
2011,10,2.2,405,417,6.51828046885983,6.33509694280288,11.1939934666265,0.179530809680418,11.194882666232,0.179400455868973,11.1944380664293,4.84689515163991,4.71440599031946,12.1646743847448,0.170150924873144,12.1751329127589,0.168723392924156,0.0104585280140999,0.00142753194898801
2012,10,2.2,308,402,52.3042310820224,45.9246612637716,12.730120635539,0.0819542285385279,12.703241623464,0.0858269510115962,12.7166811295015,5.29772621624106,4.69047504240146,12.6409918383498,0.110596660770404,12.6762528507803,0.105627904767814,0.0352610124304995,0.00496875600259
2013,10,2.2,392,418,6.55232789748894,6.36240534973564,12.4110175983689,0.129636888139844,12.3476770737563,0.138498140265692,12.3793473360626,4.49728626146776,3.98600266108368,12.3973873971383,0.170050069616621,12.3895364168429,0.171100913177394,-0.00785098029539988,-0.00105084356077301
2014,10,2.2,382,419,5.85959900372956,5.68555150856927,12.4778788464612,0.158602051142728,12.4751148791513,0.158974764948189,12.4764968628063,4.81271184740095,4.68175370189344,11.7947817677497,0.176661251040288,11.8326519972164,0.171365674779482,0.0378702294666997,0.00529557626080598
2015,10,2.2,394,424,5.00161451777976,4.85733717592073,12.486795964777,0.139181232288572,12.4878020841581,0.139042506335089,12.4872990244675,4.4414097465952,4.32190993278547,12.1709327114427,0.221194682415029,12.2106048668029,0.216109247837895,0.0396721553601989,0.00508543457713398
2016,10,2.2,390,408,7.16404359570479,6.95538213175222,11.8947723715831,0.193966353208294,11.8962824995476,0.19376167653531,11.8955274355654,5.5225350555652,5.36841779820058,12.2921104718207,0.188067015947272,12.308748022805,0.18586760218887,0.0166375509842993,0.00219941375840199
2017,10,2.2,390,412,6.91112010931957,6.70982534885395,12.4881943625033,0.142596529162224,12.5007199887039,0.140875719744977,12.4944571756036,4.83170139929684,4.69810596890153,12.5736551566056,0.110904246481097,12.5789845967711,0.110150386643102,0.00532944016550019,0.000753859837994988
2018,10,2.2,375,401,7.58748307825007,7.35813850157752,12.4650163213644,0.158674314310828,12.4665139666444,0.158472135171509,12.4657651440044,5.86612110933057,6.25542065655361,12.59610520334,0.177731141463277,12.6570568305299,0.16975409073603,0.0609516271898993,0.007977050727247
2019,10,2.2,373,407,7.4683774732835,6.5981760381483,12.9005846520059,0.159537696974713,12.8926034548676,0.160577311926106,12.8965940534367,4.80428283696036,5.12520652508702,13.1637786820775,0.191363096053912,13.300885847521,0.174430678921068,0.137107165443501,0.016932417132844
2022,10,2.2,431,449,6.14198930921082,5.97928760565557,14.1988801003361,0.120739581032747,14.2255778250843,0.11742997894509,14.2122289627102,3.203699927821,3.42647565297097,14.7702240424787,0.174096634346669,14.8796131043615,0.161817965684506,0.1093890618828,0.012278668662163
2023,10,2.2,388,410,13.8116846374196,14.7146490778075,12.5808391615816,0.112826546160164,12.6317486554852,0.105631964910719,12.6062939085334,7.42233074978256,7.21615489562193,13.8643200424998,0.125163508397491,13.9594295015078,0.113119553876128,0.0951094590080004,0.012043954521363
2024,10,2.2,368,394,5.95253932404824,5.76938426792368,15.0450772339811,0.134820727246664,15.0692325618201,0.132040353920946,15.0571548979006,3.60339522463553,3.49945113161719,14.4322780616435,0.200189249397777,14.4935714449118,0.193381286526715,0.0612933832682998,0.006807962871062
2025,10,2.2,377,410,6.13474440104195,6.5303819433978,15.1113227410888,0.123392162246831,15.1395227728952,0.120117341727316,15.125422756992,4.38427430891058,4.67807631823416,14.6249172360664,0.231527503647545,14.7558898063412,0.217701853405376,0.1309725702748,0.013825650242169
