"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2007,10,1,386,411,12.8078869646318,11.6700695867096,11.944740369889,0.0970861940040558,11.9534931317355,0.0957624506980401,11.9491167508122,4.53635034824729,4.53635034824729,12.6364832475912,0.116873373475711,12.6475491143108,0.11532597451856
2008,10,1,385,407,6.53738026442712,6.53738026442712,12.391146748207,0.157235158062392,12.382796612084,0.158370618755587,12.3869716801455,4.45563159457281,4.45563159457281,12.5527458697274,0.236104674441922,12.5336067882799,0.23843231005346
2009,10,1,374,398,5.84893640899447,5.84893640899447,12.1689958837653,0.14851072608683,12.1665366282653,0.148854849481534,12.1677662560153,3.36710949677689,3.36710949677689,11.5651741987549,0.154310594587171,11.5699898561368,0.153606169690724
2010,10,1,372,400,6.64413101257459,6.05388472540986,12.5949968246908,0.076349394294938,12.5745135051314,0.0793512284976513,12.5847551649111,4.93166710245552,4.49355138931746,12.1256062814464,0.198238485599254,12.0627909547796,0.206523838198976
2011,10,1,405,417,6.33509694280288,6.33509694280288,11.1940770039564,0.179518563816351,11.194882666232,0.179400455868973,11.1944798350942,5.17405475440868,4.71440599031946,12.1640010497857,0.170242789383613,12.1751329127589,0.168723392924156
2012,10,1,308,402,50.4022590426761,45.9246612637716,12.7394661606324,0.0806058094142993,12.703241623464,0.0858269510115962,12.7213538920482,5.1477905686116,4.69047504240146,12.6172909291539,0.11392866298271,12.6762528507803,0.105627904767814
2013,10,1,392,418,6.36240534973564,6.36240534973564,12.4812358953538,0.119760453348087,12.3476770737563,0.138498140265692,12.414456484555,4.37463299979137,3.98600266108368,12.4105213730941,0.168290615599595,12.3895364168429,0.171100913177394
2014,10,1,382,419,5.68555150856927,5.68555150856927,12.4885345944442,0.157164378467486,12.4751148791513,0.158974764948189,12.4818247367978,4.68175370189344,4.68175370189344,11.7753872910774,0.179366700956047,11.8326519972164,0.171365674779482
2015,10,1,394,424,4.85733717592073,4.85733717592073,12.4992124042046,0.137468444130887,12.4878020841581,0.139042506335089,12.4935072441813,4.32190993278547,4.32190993278547,12.1518685171424,0.223632567507721,12.2106048668029,0.216109247837895
2016,10,1,390,408,6.95538213175222,6.95538213175222,11.9094277730628,0.191978921503007,11.8962824995476,0.19376167653531,11.9028551363052,5.36841779820058,5.36841779820058,12.2924276402885,0.188025115434995,12.308748022805,0.18586760218887
2017,10,1,390,412,6.70982534885395,6.70982534885395,12.4829200275593,0.143320617526523,12.5007199887039,0.140875719744977,12.4918200081316,4.69810596890153,4.69810596890153,12.569264445404,0.111525081240777,12.5789845967711,0.110150386643102
2018,10,1,375,401,7.35813850157752,7.35813850157752,12.4657690188213,0.158572704684732,12.4665139666444,0.158472135171509,12.4661414927328,5.69970632608715,6.25542065655361,12.5831237234961,0.179425120041516,12.6570568305299,0.16975409073603
